;Unnamed: 0.1;id;DS.chainage;river;velocity;c;num_of_all_meas;num_of_vs;mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd
26;26,0;41918;613135,4362074754;Elbe;1,1113002460435062;0,034;1456;32;0,0832474829216309;0,1393811813186813;0,331311195054945;0,2238;0,2276;0,061;0,1925;0,0734;0,9688;0,9678;0,9979;0,9726;0,9969
27;27,0;41887;712074,4162252684;Elbe;1,2494811256534064;0,032;758;25;0,0855156319561619;0,1553403693931398;0,2251540897097625;0,2152;0,2909;0,0695;0,1319;0,1003;0,9532;0,9146;0,9963;0,9802;0,9919
28;28,0;42214;173586,2169616771;Oder;0,7728130009643385;0,034;496;6;0,0885963229646344;0,0822379032258064;0,0812689516129032;0,1089;0,2111;0,0267;0,0799;0,0611;0,9825;0,9343;0,9988;0,9891;0,9936
29;29,0;41866;234513,3393847275;Oder;1,15160406033445;0,032;994;20;0,0848610053298643;0,1194486921529175;0,1647328973843058;0,1429;0,1552;0,0378;0,1086;0,0698;0,9663;0,9603;0,9975;0,9788;0,9912
30;30,0;42224;286057,9769483367;Oder;0,9739519966521228;0,038;1864;20;0,115649149649395;0,1268975321888412;0,4130666845493562;0,1815;0,2003;0,1059;0,1757;0,1141;0,9576;0,9484;0,9861;0,9544;0,9832
31;31,0;42305;326460,34372443985;Oder;1,2310485348019908;0,03;1378;20;0,0847753279776211;0,1135957910014514;0,3116359216255442;0,1404;0,1995;0,0766;0,1355;0,0636;0,9744;0,9483;0,9924;0,9734;0,9946
32;32,0;23410;483182,6678917009;Oder;1,6940654488500737;0,022;1859;20;0,1154675456441274;0,1265755782678859;0,8658680473372782;0,3807;0,3698;0,2403;0,3678;0,1954;0,8394;0,849;0,9446;0,8306;0,9538
33;0,0;15776;71612,14097833431;Mississippi;2,112838806383627;0,02;1139;17;0,1523553517382607;0,0805575065847234;0,7140139596136962;0,5937;0,8075;0,229;0,3943;0,1528;0,9475;0,9067;0,9906;0,975;0,9964
34;1,0;46320;157939,22547807146;Mississippi;1,1714821274720184;0,034;1138;17;0,1522162700087313;0,080701230228471;0,3628224956063269;0,4691;0,8221;0,0676;0,2681;0,1036;0,9695;0,9065;0,9994;0,9886;0,9985
35;2,0;16794;269244,67250535486;Mississippi;1,3357639126563274;0,03;962;14;0,1488446840778033;0,0808523908523908;0,5587545738045737;0,5066;1,0058;0,0918;0,3526;0,2343;0,9659;0,8658;0,9989;0,9831;0,9926
