;id;DS.chainage;river;velocity;c;num_of_all_meas;num_of_vs;mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;rmse_sv;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd;nse_sv
25;41861;218037,67530584385;Rhine;1,352477955410459;0,032;2382;27;0,10184994857893105;0,0739101595298069;0,3120164987405541;0,3189;0,4876;0,0486;0,1692;0,0858;0,2852;0,9568;0,899;0,9989;0,9863;0,9964;0,9655
26;41931;255202,3656464955;Rhine;1,3742719463361526;0,032;2442;28;0,10103671753591216;0,07445536445536445;0,2685831695331696;0,2855;0,4231;0,031;0,1758;0,0845;0,2569;0,9622;0,917;0,9995;0,9842;0,9965;0,9694
27;42213;310050,6355811434;Rhine;1,3002209197614785;0,034;2592;30;0,10447053800952516;0,0754243827160494;0,3130411651234568;0,3242;0,7139;0,0384;0,2086;0,0878;0,2696;0,9515;0,765;0,9993;0,9786;0,9962;0,9665
28;41903;361011,36655822257;Rhine;1,4668347475618004;0,03;2307;27;0,10796572547754292;0,07920286085825748;0,35620502817511923;0,2685;0,4878;0,056;0,1939;0,0988;0,2798;0,9576;0,8601;0,9981;0,9768;0,9941;0,954
29;41900;439615,0889590909;Rhine;1,5767441890176945;0,028;1775;23;0,11690945836489976;0,08763830985915493;0,40856816901408455;0,2966;0,5668;0,0759;0,3026;0,2019;0,2679;0,941;0,7854;0,9958;0,9432;0,9706;0,9519
30;41899;448733,0573867012;Rhine;0,8533487225963807;0,052;1825;23;0,10687061764304265;0,08485698630136988;0,41466794520547945;0,3087;0,7157;0,0841;0,2798;0,1395;0,2862;0,937;0,6612;0,9955;0,9437;0,987;0,9458
31;41897;478239,2477053198;Rhine;1,2710293959440382;0,03;1068;14;0,10081585770958165;0,0765683520599251;0,22797649812734083;0,1529;0,416;0,0417;0,1143;0,1319;0,1654;0,9622;0,7196;0,9973;0,979;0,9711;0,9557
32;46148;499137,6826820462;Rhine;1,6882845772450268;0,024;1363;17;0,0993555325485558;0,08268598679383712;0,2375573000733676;0,1997;0,2527;0,0863;0,1716;0,0881;0,2102;0,95;0,92;0,9917;0,9644;0,9913;0,9447
33;41893;555161,3104702845;Rhine;0,8917956494485582;0,042;1612;20;0,12520985342358895;0,08123821339950374;0,26183560794044664;0,2416;0,3686;0,0526;0,1856;0,0769;0,2324;0,9548;0,8947;0,9982;0,9723;0,996;0,9581
34;41865;598357,646958985;Rhine;0,6737432709738146;0,056;1492;17;0,12641204390434055;0,08289142091152815;0,2912363941018767;0,293;0,5453;0,069;0,2498;0,078;0,2814;0,933;0,768;0,9968;0,951;0,9956;0,9382
35;41891;636723,4951453801;Rhine;1,2147533126860384;0,034;956;11;0,14525872396392833;0,08906903765690377;0,25385251046025104;0,2278;0,3772;0,0601;0,1681;0,0901;0,2194;0,9437;0,8457;0,9964;0,9702;0,9911;0,9478
