;river;vs_id;x;y;vel_cval;c_cval;chain;min_rmse;mean_bias
0;Po;46217;11,6419;44,8956;1,4538227504469692;0,024;78,28703637738184;0,4516;0,3371647245456214
1;Po;46221;11,3018;45,0113;0,6100742903611648;0,06;114,01801273358068;0,5044;0,3246340588740298
2;Po;46225;10,7682;45,0458;1,2502348203723193;0,032;171,8522804483872;0,4762;0,3095151320213919
3;Po;23876;10,6102;44,9217;0,8541582204490006;0,046;200,0617053273756;0,5907;0,3245929432581755
4;Po;46227;10,4228;44,9743;1,5469454223673875;0,026;220,90708354902847;0,5623;0,3234028659586386
5;Po;46232;10,0032;45,1173;1,3729952098053426;0,03;270,4682411846031;0,5623;0,2887836220912734
6;Po;14039;9,7289;45,0621;1,607651469595507;0,024;308,34771673388883;0,6385;0,2271121751457585
7;Rhine;41863;6,2448;51,8272;0,9313545554122172;0,044;147,7144396594754;0,2994;0,0931854478909862
8;Rhine;41905;6,6041;51,6472;1,7653126445905698;0,024;185,5422744992548;0,2949;0,1009023361818495
9;Rhine;41861;6,7221;51,4638;1,352477955410459;0,032;218,03767530584383;0,2852;0,101849948578931
10;Rhine;41931;6,7681;51,2277;1,3742719463361526;0,032;255,2023656464955;0,2569;0,1010367175359121
11;Rhine;42213;6,9696;50,9495;1,3002209197614785;0,034;310,05063558114335;0,2696;0,1044705380095251
12;Rhine;41903;7,2126;50,6159;1,4668347475618004;0,03;361,01136655822256;0,2798;0,1079657254775429
13;Rhine;41900;7,6803;50,1702;1,5767441890176943;0,028;439,6150889590909;0,2679;0,1169094583648997
14;Rhine;41899;7,7233;50,1131;0,8533487225963807;0,052;448,7330573867012;0,2862;0,1068706176430426
15;Rhine;41897;8,0022;49,9892;1,2710293959440382;0,03;478,23924770531977;0,1654;0,1008158577095816
16;Rhine;46148;8,2627;50,0168;1,6882845772450268;0,024;499,1376826820462;0,2102;0,0993555325485558
17;Rhine;41893;8,3784;49,6366;0,8917956494485582;0,042;555,1613104702845;0,2324;0,1252098534235889
18;Rhine;41865;8,4505;49,324;0,6737432709738146;0,056;598,357646958985;0,2814;0,1264120439043405
19;Rhine;41891;8,3056;49,0423;1,2147533126860384;0,034;636,7234951453802;0,2194;0,1452587239639283
20;Elbe;41927;10,8878;53,2368;1,1675673150942487;0,026;228,1298234030728;0,1674;0,0770809105480621
21;Elbe;41925;11,7579;52,9852;0,9154060165176636;0,036;312,2298127655155;0,1518;0,0780342590200848
22;Elbe;41855;12,0299;52,8246;0,929687899199061;0,036;346,4344684502975;0,1471;0,0816162129454005
23;Elbe;41882;11,7342;52,0264;1,2701845639065668;0,028;455,2955836026555;0,2125;0,0780902329042719
24;Elbe;41945;12,5862;51,8566;1,0875578624698017;0,034;548,5723838389295;0,1911;0,0802313530507614
25;Elbe;41885;12,8249;51,826;0,7713260955200222;0,048;567,037826478596;0,2224;0,0800107548922154
26;Elbe;41918;13,0126;51,555;1,1113002460435062;0,034;613,1354362074753;0,2003;0,0832474829216309
27;Elbe;41887;13,7356;51,057;1,2494811256534064;0,032;712,0744162252684;0,2071;0,0855156319561619
28;Oder;42214;14,309;52,765;0,7728130009643385;0,034;173,5862169616771;0,1216;0,0885963229646344
29;Oder;41866;14,5531;52,3598;1,15160406033445;0,032;234,5133393847275;0,1386;0,0848610053298643
30;Oder;42224;14,8376;52,0771;0,9739519966521228;0,038;286,0579769483367;0,1716;0,115649149649395
31;Oder;42305;15,3131;52,0557;1,2310485348019908;0,03;326,46034372443984;0,138;0,0847753279776211
32;Oder;23410;16,4454;51,4485;1,6940654488500737;0,022;483,18266789170093;0,3301;0,1154675456441274
33;Mississippi;15776;-89,4797;37,2528;2,112838806383627;0,02;71,61214097833431;0,5869;0,1523553517382607
34;Mississippi;36589;-89,6778;37,8051;0,9478874216825872;0,042;151,09853861604307;0,4353;0,1535418301713361
35;Mississippi;46320;-89,7375;37,8456;1,1714821274720184;0,034;157,93922547807145;0,459;0,1522162700087313
36;Missouri;22886;-90,4473;38,8229;1,195241394639105;0,032;36,944541852226415;0,3716;0,1421543334185859
37;Missouri;19674;-90,8342;38,5716;0,9002008747642248;0,042;85,73362806914339;0,4371;0,1300432078458966
38;Missouri;46345;-90,9831;38,5541;1,5774196524055883;0,024;99,83617324049987;0,3912;0,1280301532738611
39;Missouri;46329;-93,4911;39,2249;1,437146722567114;0,028;440,05165229952263;0,292;0,1295344162248952
40;Missouri;46337;-94,0281;39,1525;0,5919604132308012;0,068;491,98419095612866;0,3829;0,1081810406015957
41;Missouri;46336;-94,5578;39,1265;0,9363727283137424;0,044;549,7272737660359;0,3338;0,109383368589945
42;Missouri;17455;-94,7289;39,1686;1,2169536799431615;0,034;574,1228593943591;0,288;0,0939915018596646
43;Missouri;37033;-94,9;39,3001;0,6391253969540132;0,066;597,6097943138188;0,2753;0,0937308698133975
44;Missouri;46364;-94,8741;39,7315;1,542962067998382;0,028;676,3358239674255;0,2685;0,0857959603030815
45;Missouri;38445;-95,9161;41,222;1,634537280524345;0,026;934,9179300921224;0,3346;0,222062292898316
46;Missouri;37301;-96,4042;42,4867;1,994788728373508;0,022;1119,8182373035784;0,3822;0,1918089078785176
47;Ganges;46395;86,5476;25,3685;1,152664154667656;0,032;91,01934388117172;0,3646;2,028044505704506
48;Ganges;15695;86,5001;25,4356;1,7363192384421198;0,024;101,49065101365768;0,4037;2,028044505704506
