;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
22;41956;620656.3421110414;0.8333333333333334;233;3;0.16569859065853038;0.08440239043824702;0.15429384814532132;0.08510729613733908;0.337;0.384;0.359;0.487;0.333;0.385;0.344;0.49;0.88;0.844;0.866;0.753;0.882;0.842;0.877;0.75;8.3714;49.1732
23;42212;286924.6073327868;0.8333333333333334;511;7;0.12369013608397109;0.09281818181818183;0.11864431384149611;0.09383561643835617;0.474;0.455;0.507;0.579;0.548;0.648;0.544;0.606;0.898;0.906;0.883;0.848;0.865;0.811;0.867;0.835;6.8662;51.0934
24;42213;310050.6355811434;0.8333333333333334;454;7;0.15206203820758607;0.10557884231536926;0.1416155772588862;0.09579295154185025;0.56;0.736;0.53;0.672;0.573;0.829;0.569;0.673;0.86;0.758;0.875;0.799;0.853;0.693;0.855;0.797;6.9696;50.9495
25;42229;155115.09893184;0.8333333333333334;357;4;0.09878849219103962;0.05535751295336788;0.09237363232081994;0.05361344537815126;0.405;0.467;0.39;0.587;0.431;0.504;0.415;0.589;0.942;0.922;0.946;0.877;0.934;0.909;0.939;0.876;6.3222;51.7849
26;42230;191596.00402084127;0.8333333333333334;717;8;0.09574455171271022;0.061227513227513235;0.0923945178663979;0.06054393305439332;0.315;0.328;0.351;0.439;0.362;0.508;0.39;0.454;0.96;0.956;0.95;0.922;0.947;0.896;0.938;0.917;6.5974;51.5972
27;42231;203559.35044007513;0.8333333333333334;776;9;0.09169622448951867;0.06280736196319019;0.08839045726641294;0.06225515463917526;0.331;0.339;0.342;0.467;0.4;0.615;0.407;0.488;0.955;0.953;0.952;0.911;0.935;0.846;0.933;0.903;6.6792;51.549
28;42232;226223.0572000419;0.8333333333333334;658;8;0.09541881246390613;0.06658249641319942;0.09174704755923177;0.06615501519756839;0.356;0.527;0.355;0.476;0.442;0.713;0.448;0.516;0.944;0.877;0.944;0.9;0.913;0.774;0.911;0.882;6.7447;51.399
29;42250;329284.42405398306;0.8333333333333334;280;4;0.12511515867327797;0.11324573378839589;0.11173243626523827;0.09774999999999999;0.514;0.724;0.514;0.616;0.517;0.724;0.497;0.622;0.861;0.724;0.861;0.8;0.859;0.723;0.87;0.796;6.9806;50.8325
30;42253;354100.5027576764;0.8333333333333334;383;5;0.1531977429852114;0.10192677345537758;0.14554644026159344;0.0964229765013055;0.363;0.438;0.381;0.584;0.442;0.624;0.473;0.586;0.922;0.887;0.914;0.798;0.884;0.769;0.868;0.797;7.1878;50.6739
31;42254;380559.4754125349;0.8333333333333334;131;1;0.15414864919297125;0.0852671755725191;0.15414864919297125;0.0852671755725191;0.515;0.734;0.507;0.512;0.52;0.737;0.513;0.52;0.821;0.635;0.833;0.83;0.818;0.635;0.83;0.825;7.3437;50.4771
32;42256;541241.8384851414;0.8333333333333334;470;6;0.09109502877423951;0.08569411764705884;0.08410602796332375;0.09123404255319151;0.348;0.372;0.338;0.39;0.403;0.51;0.375;0.411;0.909;0.896;0.915;0.886;0.877;0.803;0.895;0.874;8.4423;49.726
33;42257;563003.0734622289;0.8333333333333334;375;5;0.0929620645464543;0.09347594936708861;0.08926825942927397;0.09706666666666668;0.312;0.392;0.302;0.353;0.363;0.662;0.328;0.358;0.934;0.896;0.938;0.916;0.91;0.701;0.927;0.914;8.4239;49.5753
34;42258;608584.541384691;0.8333333333333334;214;3;0.09309672973033961;0.07462616822429907;0.09309672973033961;0.07462616822429907;0.45;0.466;0.435;0.492;0.462;0.475;0.443;0.501;0.786;0.771;0.804;0.749;0.774;0.761;0.796;0.739;8.4406;49.2628
35;42259;628708.0773413485;0.8333333333333334;179;2;0.18876028829326755;0.08601522842639596;0.17637594983447968;0.08709497206703913;0.349;0.409;0.351;0.497;0.356;0.406;0.352;0.5;0.87;0.822;0.872;0.744;0.865;0.824;0.871;0.74;8.3621;49.1029
36;13594;375605.8688414262;0.8333333333333334;204;2;0.17585409813034067;0.08709502262443442;0.16773822381265224;0.08916666666666669;0.524;0.756;0.555;0.55;0.576;0.87;0.589;0.58;0.819;0.622;0.797;0.8;0.777;0.492;0.772;0.778;7.3022;50.5129
37;13592;265371.7492164789;0.8333333333333334;522;7;0.09354780639941765;0.08434082397003746;0.09152599031802858;0.0845977011494253;0.585;0.573;0.537;0.57;0.69;0.754;0.639;0.656;0.85;0.856;0.874;0.857;0.787;0.745;0.817;0.812;6.7511;51.181
