;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
32;42253;354100.5027576764;0.8333333333333334;526;8;0.16625537427345136;0.09834776334776335;0.13661670174836724;0.09891634980988595;0.38;0.37;0.531;0.584;0.468;0.802;0.53;0.586;0.915;0.919;0.833;0.798;0.87;0.619;0.833;0.797;7.1878;50.6739
33;42254;380559.4754125349;0.8333333333333334;380;7;0.16258567155838866;0.0857069846678024;0.13647647358516865;0.09250000000000001;0.434;0.501;0.701;0.512;0.598;0.89;0.662;0.52;0.874;0.833;0.681;0.83;0.759;0.466;0.716;0.825;7.3437;50.4771
34;42255;398583.78326083376;0.8333333333333334;305;6;0.16193509837464667;0.08547328244274811;0.12804428736171597;0.09200000000000001;0.439;0.504;0.76;0.709;0.687;0.876;0.912;0.716;0.872;0.832;0.627;0.675;0.683;0.483;0.462;0.669;7.5437;50.4207
35;42256;541241.8384851414;0.8333333333333334;632;9;0.0899746963978717;0.08363690476190477;0.08468842277396778;0.08762658227848102;0.364;0.359;0.377;0.398;0.399;0.493;0.395;0.419;0.9;0.903;0.894;0.882;0.879;0.816;0.883;0.869;8.4423;49.726
36;42257;563003.0734622289;0.8333333333333334;554;8;0.12483828766928773;0.09099324324324326;0.11731429611276822;0.09384476534296031;0.327;0.317;0.368;0.353;0.315;0.398;0.351;0.358;0.927;0.932;0.909;0.916;0.932;0.891;0.917;0.914;8.4239;49.5753
37;42258;608584.541384691;0.8333333333333334;354;5;0.1536049767469222;0.08517473118279573;0.14545577095576698;0.08567796610169492;0.54;0.909;0.45;0.492;0.554;0.881;0.427;0.501;0.691;0.125;0.79;0.749;0.675;0.176;0.81;0.739;8.4406;49.2628
38;42259;628708.0773413485;0.8333333333333334;248;3;0.17621305539171514;0.09013157894736842;0.16629310760353694;0.09120967741935486;0.521;0.707;0.438;0.497;0.531;0.789;0.42;0.5;0.711;0.469;0.8;0.744;0.7;0.338;0.816;0.74;8.3621;49.1029
39;42970;460983.4636213527;0.8333333333333334;357;5;0.10091520147278413;0.061672064777327944;0.08228973986680853;0.06823529411764706;0.43;0.443;0.473;0.463;0.526;0.63;0.509;0.464;0.741;0.725;0.691;0.703;0.608;0.436;0.641;0.702;7.8211;50.028
40;13594;375605.8688414262;0.8333333333333334;417;7;0.18164650952887582;0.09593677204658901;0.1488665830890046;0.09721822541966428;0.479;0.618;0.775;0.566;0.568;0.947;0.736;0.599;0.848;0.747;0.602;0.788;0.783;0.397;0.643;0.763;7.3022;50.5129
41;13592;265371.7492164789;0.8333333333333334;602;9;0.11338156383629314;0.09229037267080746;0.10575347734193033;0.08340531561461795;0.575;0.497;0.606;0.57;0.693;0.755;0.678;0.656;0.855;0.892;0.839;0.857;0.785;0.745;0.794;0.812;6.7511;51.181
