;Unnamed: 0;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
40;40;13630;492345.5236699465;0.8333333333333334;799;12;0.312;0.317;0.359;0.56;;;;;0.923;0.92;0.898;0.751;;;;;;;;;12.046;51.8594
41;41;13650;629901.9385101487;0.8333333333333334;389;8;0.0998573529845129;0.1264209523809524;0.0887153787621239;0.1449357326478149;0.331;0.363;0.363;0.372;0.259;0.329;0.242;0.372;0.886;0.863;0.863;0.857;0.95;0.92;0.957;0.857;13.1548;51.491
42;42;13633;499103.3090315081;0.8333333333333334;706;10;0.334;0.341;0.396;0.618;;;;;0.903;0.899;0.864;0.67;;;;;;;;;12.1392;51.8724
43;43;13632;501975.7058381553;0.8333333333333334;842;10;0.379;0.424;0.389;0.422;;;;;0.874;0.842;0.867;0.844;;;;;;;;;12.1802;51.8755
44;44;13635;541094.9859923295;0.8333333333333334;506;11;0.1084112139790126;0.1080693181818181;0.0784404048243711;0.1382806324110672;0.427;0.497;0.437;0.464;0.428;0.442;0.425;0.464;0.84;0.783;0.833;0.811;0.886;0.878;0.887;0.811;12.5118;51.8593
45;45;13619;270227.6954518569;0.8333333333333334;501;13;0.0985466508387904;0.0891770972037283;0.0684126517903463;0.0931137724550898;0.353;0.389;0.369;0.322;0.331;0.32;0.285;0.322;0.917;0.899;0.909;0.931;0.942;0.946;0.957;0.931;11.3187;53.0698
46;46;13618;193904.85533852415;0.8333333333333334;923;11;0.601;0.655;0.466;0.581;;;;;0.394;0.28;0.635;0.434;;;;;;;;;10.5352;53.3697
47;47;13620;280595.283706674;0.8333333333333334;681;13;0.347;0.352;0.352;0.446;;;;;0.92;0.918;0.918;0.869;;;;;;;;;11.4495;53.0783
48;48;13626;427355.8254144301;0.8333333333333334;416;13;0.1484255464840577;0.106574200913242;0.1101388951405496;0.1232932692307692;0.301;0.346;0.403;0.388;0.255;0.293;0.391;0.388;0.925;0.901;0.866;0.876;0.959;0.945;0.903;0.876;11.703;52.2439
49;49;13653;743038.7108082594;0.8333333333333334;182;3;0.467;0.538;0.539;1.426;;;;;0.774;0.701;0.699;-1.102;;;;;;;;;14.0507;50.9577
50;50;13652;701747.0721134457;0.8333333333333334;309;6;0.1141003474338694;0.1439501133786848;0.0909261682177848;0.177799352750809;0.358;0.372;0.359;0.403;0.289;0.399;0.254;0.403;0.858;0.846;0.856;0.819;0.937;0.88;0.951;0.819;13.6465;51.0958
51;51;13651;656758.569482935;0.8333333333333334;424;8;0.401;0.417;0.494;0.611;;;;;0.831;0.818;0.744;0.609;;;;;;;;;13.2914;51.3382
52;52;13628;405606.8137653591;0.8333333333333334;458;15;0.1319458316591951;0.0953516720604099;0.0919229497546105;0.1137336244541484;0.328;0.359;0.38;0.45;0.25;0.294;0.229;0.45;0.921;0.906;0.894;0.852;0.965;0.952;0.971;0.852;11.9081;52.3624
53;53;13623;456026.017440349;0.8333333333333334;745;12;0.328;0.339;0.421;0.628;;;;;0.914;0.908;0.857;0.682;;;;;;;;;11.7432;52.023
54;54;13627;384630.7959163165;0.8333333333333334;641;12;0.335;0.377;0.369;0.486;;;;;0.918;0.896;0.9;0.827;;;;;;;;;11.9772;52.5033
55;55;13649;604129.9241584706;0.8333333333333334;525;8;0.394;0.391;0.512;0.666;;;;;0.875;0.877;0.789;0.644;;;;;;;;;12.9993;51.6163
56;56;13634;549870.1368468172;0.8333333333333334;763;10;0.419;0.41;0.424;0.562;;;;;0.846;0.853;0.842;0.722;;;;;;;;;12.6008;51.8596
57;57;13621;311517.9140712025;0.8333333333333334;706;12;0.36;0.384;0.406;0.553;;;;;0.906;0.893;0.88;0.778;;;;;;;;;11.7484;52.988
