;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr
40;42250;329284.42405398306;0.8333333333333334;867;13;0.1732656507442556;0.11056403508771932;0.1472386921899552;0.11448673587081892;0.508;0.803;0.49;0.773;0.572;0.823;0.604;0.773;0.851;0.627;0.861;0.654;0.817;0.622;0.796;0.654
41;42253;354100.5027576764;0.8333333333333334;1039;15;0.15219318242920002;0.10373109843081313;0.12316507762468504;0.11042348411934554;0.4;0.396;0.47;0.657;0.517;0.766;0.635;0.657;0.905;0.908;0.87;0.745;0.842;0.654;0.762;0.745
42;42254;380559.4754125349;0.8333333333333334;1158;16;0.1433048562416495;0.10587110834371108;0.12145971709228508;0.11753022452504319;0.432;0.442;0.431;0.531;0.57;0.908;0.498;0.531;0.868;0.862;0.869;0.8;0.77;0.417;0.825;0.8
43;42255;398583.78326083376;0.8333333333333334;1069;18;0.150590968775775;0.10470697100555214;0.12813835827825024;0.11946959775491114;0.437;0.475;0.389;0.67;0.635;1.615;0.646;0.67;0.865;0.84;0.893;0.681;0.714;-0.85;0.704;0.681
44;42256;541241.8384851414;0.8333333333333334;1594;12;0.06739058090871289;0.06457337278106509;0.06094429734739689;0.06572145545796738;0.269;0.281;0.268;0.32;0.288;0.367;0.289;0.32;0.94;0.934;0.94;0.914;0.931;0.888;0.93;0.914
45;42257;563003.0734622289;0.8333333333333334;1434;10;0.09632821939037486;0.07041126391617553;0.08711479793260887;0.07043933054393307;0.306;0.294;0.262;0.361;0.298;0.361;0.29;0.361;0.93;0.935;0.949;0.903;0.934;0.903;0.937;0.903
46;42258;608584.541384691;0.8333333333333334;973;7;0.12230721311496047;0.07117416829745597;0.11083278132902419;0.06916752312435767;0.514;0.72;0.425;0.473;0.517;0.826;0.372;0.473;0.701;0.412;0.796;0.746;0.697;0.227;0.844;0.746
47;42259;628708.0773413485;0.8333333333333334;707;5;0.13697365878638468;0.0758994708994709;0.12218859705831304;0.07346534653465348;0.504;0.657;0.406;0.443;0.512;0.738;0.38;0.443;0.715;0.514;0.815;0.779;0.704;0.388;0.838;0.779
48;42970;460983.4636213527;0.8333333333333334;1008;12;0.10541502355405642;0.08745271317829457;0.09533064433801389;0.09732440476190476;0.321;0.323;0.244;0.576;0.409;0.398;0.309;0.576;0.842;0.84;0.909;0.491;0.743;0.757;0.853;0.491
49;45491;705911.4892764302;0.8333333333333334;547;5;0.16186729178264656;0.08825250836120402;0.14724028723811938;0.08692870201096892;0.307;0.304;0.325;0.244;0.339;0.306;0.321;0.244;0.625;0.63;0.579;0.762;0.541;0.625;0.589;0.762
