;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
0;41855;346434.46845029754;0.8333333333333334;679;11;0.10225587190459881;0.11527904040404043;0.09524509759655982;0.11848306332842416;0.243;0.246;0.347;0.193;0.188;0.23;0.195;0.193;0.956;0.955;0.91;0.972;0.974;0.961;0.972;0.972;12.0299;52.8246
1;41882;455295.5836026555;0.8333333333333334;631;10;0.112131441194824;0.11299466950959489;0.08208700353157092;0.12483359746434233;0.264;0.289;0.345;0.214;0.225;0.219;0.215;0.214;0.956;0.947;0.925;0.971;0.968;0.969;0.971;0.971;11.7342;52.0264
2;41885;567037.826478596;0.8333333333333334;579;10;0.08269751718901115;0.12658206896551724;0.07416155695844383;0.13711571675302242;0.226;0.226;0.217;0.217;0.243;0.271;0.222;0.218;0.968;0.968;0.971;0.97;0.963;0.954;0.969;0.97;12.8249;51.826
3;41887;712074.4162252684;0.8333333333333334;233;3;0.10310639066709555;0.1804940239043825;0.09129493296054816;0.19334763948497852;0.339;0.455;0.376;0.333;0.318;0.511;0.343;0.333;0.913;0.843;0.893;0.916;0.924;0.803;0.911;0.916;13.7356;51.057
4;41918;613135.4362074754;0.8333333333333334;500;9;0.08712013237073311;0.14509041591320074;0.08006556779572101;0.15386000000000002;0.388;0.388;0.31;0.271;0.343;0.347;0.275;0.271;0.918;0.918;0.948;0.96;0.936;0.934;0.959;0.96;13.0126;51.555
5;41925;312229.81276551547;0.8333333333333334;676;11;0.10284485291228891;0.11099371859296482;0.09139528430360704;0.11255917159763314;0.311;0.307;0.576;0.704;0.318;0.322;0.649;0.705;0.942;0.944;0.802;0.705;0.94;0.938;0.748;0.704;11.7579;52.9852
6;41927;228129.8234030728;0.8333333333333334;644;10;0.08270009535922372;0.08776123234916562;0.06859666177226764;0.09203416149068322;0.278;0.253;0.272;0.193;0.303;0.271;0.285;0.192;0.961;0.968;0.963;0.981;0.953;0.963;0.959;0.981;10.8878;53.2368
7;41928;195413.0843143927;0.8333333333333334;695;11;0.09319042424496587;0.07948915662650605;0.08221630036947017;0.08184172661870505;0.44;0.448;0.454;0.165;0.371;0.384;0.44;0.165;0.78;0.771;0.763;0.969;0.845;0.834;0.777;0.969;10.5567;53.368
