;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
0;14884;548711.5927425973;0.8333333333333334;685;11;0.09902081476745637;0.08375474452554746;;;0.379;0.408;0.29;0.609;;;;;0.893;0.876;0.937;0.724;;;;;8.357;49.6916
1;15886;317140.0891093836;0.8333333333333334;548;10;0.15681588026411752;0.10680317460317461;0.14502049984680931;0.1000912408759124;0.476;0.554;0.448;0.556;0.504;0.77;0.467;0.556;0.88;0.838;0.894;0.837;0.865;0.685;0.885;0.836;7.003;50.8951
2;16150;400652.49490120064;0.8333333333333334;591;17;0.17015407873515204;0.08821150592216583;;;0.476;0.496;0.444;0.801;;;;;0.854;0.842;0.873;0.586;;;;;7.569;50.4119
3;16151;417765.91207920026;0.8333333333333334;495;15;0.17121715890773334;0.08170101010101012;;;0.395;0.403;0.324;0.804;;;;;0.898;0.894;0.931;0.577;;;;;7.6262;50.2802
4;16152;649205.1974153378;0.8333333333333334;218;4;0.23041910614750158;0.09140573770491806;0.21773688331815336;0.09233944954128441;0.376;0.46;0.492;0.403;0.392;0.545;0.541;0.403;0.48;0.223;0.109;0.404;0.435;-0.091;-0.074;0.405;8.2075;48.961
5;16285;433036.19228406413;0.8333333333333334;550;13;0.14126806372073783;0.07824363636363636;;;0.324;0.323;0.278;0.792;;;;;0.927;0.927;0.946;0.561;;;;;7.6317;50.2104
6;16286;422203.6339803607;0.8333333333333334;475;13;0.16221767006927293;0.08141263157894738;;;0.338;0.327;0.279;0.764;;;;;0.917;0.923;0.944;0.579;;;;;7.6449;50.2481
7;16287;421289.33856311283;0.8333333333333334;495;14;0.1673405145130395;0.07943636363636365;;;0.35;0.34;0.29;0.658;;;;;0.911;0.916;0.939;0.686;;;;;7.6519;50.2549
8;16649;526246.4921307832;0.8333333333333334;682;11;0.09451957806106934;0.0795256064690027;0.08643310362618764;0.08208211143695016;0.242;0.302;0.232;0.269;0.289;0.37;0.291;0.27;0.956;0.931;0.959;0.945;0.937;0.896;0.936;0.945;8.391;49.8121
9;16650;693868.1678564695;0.8333333333333334;198;5;0.19680768382053218;0.09369696969696974;;;0.395;0.367;0.336;0.562;;;;;0.476;0.548;0.62;-0.061;;;;;7.8889;48.6622
10;18867;757851.3871272242;0.8333333333333334;62;3;0.3027661663539708;0.10377419354838713;;;0.866;0.865;0.862;0.955;;;;;-0.094;-0.092;-0.084;-0.331;;;;;7.6082;48.1663
11;19876;591550.2427100627;0.8333333333333334;474;7;0.14527537482333572;0.0823196881091618;0.13773360332443482;0.08491561181434601;0.3;0.31;0.286;0.323;0.296;0.372;0.305;0.323;0.93;0.926;0.936;0.919;0.932;0.892;0.928;0.919;8.4996;49.373
12;23925;439645.22401554993;0.8333333333333334;433;11;0.11849706450137211;0.0643256351039261;;;0.351;0.353;0.301;0.782;;;;;0.914;0.913;0.937;0.574;;;;;7.6807;50.17
13;23926;796874.1933615974;0.8333333333333334;9;1;0.2455555555555596;0.09311111111111112;;;0.723;0.839;0.723;0.723;;;;;0.087;-0.228;0.087;0.087;;;;;7.5562;47.8537
14;38581;409240.0271591982;0.8333333333333334;307;16;0.16831348631863863;0.0890279232111693;0.128241513108941;0.09845602605863192;0.408;0.388;0.341;0.6;0.578;0.567;0.556;0.6;0.891;0.901;0.923;0.763;0.78;0.788;0.796;0.763;7.6012;50.3479
15;41539;492807.15592521377;0.8333333333333334;583;12;0.09824540886790092;0.0784112554112554;0.08429312655027034;0.08282332761578044;0.05;0.055;0.124;0.107;0.05;0.042;0.118;0.084;0.37;0.231;-2.907;-1.921;0.422;0.598;-2.198;-0.633;8.1891;50.0362
16;41858;295238.6262139957;0.8333333333333334;522;9;0.1461241891122783;0.10350615114235501;0.1365205689087388;0.09480842911877396;0.444;0.514;0.467;0.672;0.503;0.732;0.511;0.672;0.911;0.881;0.902;0.796;0.886;0.758;0.882;0.796;6.9288;51.0496
17;41860;279675.42978935014;0.8333333333333334;596;10;0.12912895055322632;0.09610419906687404;0.11938035010369721;0.0879026845637584;0.339;0.441;0.368;0.436;0.383;0.535;0.398;0.436;0.948;0.912;0.938;0.914;0.933;0.87;0.928;0.914;6.8501;51.1447
18;41861;218037.67530584385;0.8333333333333334;777;13;0.10079354297892358;0.06847215777262182;0.09259534179824881;0.06564993564993565;0.377;0.439;0.339;0.5;0.43;0.614;0.404;0.501;0.942;0.922;0.953;0.898;0.925;0.846;0.934;0.898;6.7221;51.4638
19;41862;162660.5530708279;0.8333333333333334;699;13;0.11044589526167499;0.06220539152759949;0.09273983040044725;0.05602288984263234;0.405;0.451;0.418;0.735;0.398;0.543;0.363;0.735;0.941;0.927;0.937;0.806;0.943;0.894;0.953;0.806;6.4009;51.7553
20;41864;419571.8097772568;0.8333333333333334;330;15;0.15594824497263654;0.08037813620071685;0.1184437034264498;0.08071515151515152;0.342;0.338;0.29;0.497;0.366;0.622;0.361;0.497;0.915;0.917;0.939;0.821;0.902;0.718;0.905;0.82;7.6444;50.2689
21;41865;598357.646958985;0.8333333333333334;394;7;0.15797328047674966;0.07945952380952383;0.1459462883314623;0.07918781725888327;0.465;0.481;0.457;0.502;0.404;0.438;0.38;0.503;0.833;0.821;0.838;0.805;0.874;0.851;0.888;0.804;8.4505;49.324
22;41891;636723.4951453801;0.8333333333333334;281;5;0.20384911845648424;0.0876970684039088;0.1914275413141042;0.08807829181494661;0.614;0.636;0.435;0.406;0.621;0.813;0.397;0.406;0.608;0.58;0.804;0.829;0.599;0.312;0.837;0.829;8.3056;49.0423
23;41892;574142.9765573984;0.8333333333333334;554;9;0.14439711555312285;0.09006301824212272;0.13384897228986295;0.09149819494584838;0.303;0.319;0.296;0.345;0.277;0.363;0.305;0.345;0.928;0.921;0.932;0.907;0.94;0.897;0.928;0.907;8.4547;49.4824
24;41893;555161.3104702845;0.8333333333333334;715;11;0.1284456405012979;0.08693455497382199;0.11918793875169616;0.08783216783216785;0.29;0.294;0.281;0.339;0.288;0.362;0.281;0.339;0.937;0.935;0.94;0.913;0.938;0.901;0.94;0.913;8.3784;49.6366
