;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
0;8907;89033.1082363893;0.8333333333333334;410;9;0.32540327239541766;0.0867260034904014;0.3303048525769349;0.09760975609756098;0.226;0.22;0.274;0.265;0.25;0.278;0.279;0.265;0.957;0.959;0.937;0.941;0.948;0.935;0.934;0.941;18.848;53.8089
1;13674;130234.94470956137;0.8333333333333334;329;7;0.2977862923461949;0.092218818380744;0.29666269583556143;0.09462006079027355;0.237;0.223;0.238;0.25;0.25;0.276;0.225;0.25;0.957;0.962;0.957;0.952;0.952;0.941;0.961;0.952;18.7322;53.4758
2;14693;129681.95882717073;0.8333333333333334;475;8;0.2990192639488491;0.0896778947368421;;;0.337;0.321;0.446;0.546;;;;;0.914;0.922;0.849;0.774;;;;;18.7373;53.4797
3;15926;163405.91077969785;0.8333333333333334;274;5;0.2998895063085537;0.10908035714285716;0.2869774426129982;0.09437956204379563;0.254;0.235;0.257;0.273;0.262;0.299;0.268;0.273;0.945;0.953;0.944;0.937;0.942;0.924;0.939;0.937;18.3405;53.3272
4;15927;221210.50648990646;0.8333333333333334;171;3;0.3407941650616824;0.1250772727272727;0.3417563800338816;0.10760233918128655;0.287;0.279;0.313;0.318;0.303;0.272;0.306;0.318;0.933;0.937;0.921;0.918;0.925;0.94;0.924;0.918;18.4983;53.0083
5;17524;148826.1377655787;0.8333333333333334;315;6;0.2975442252078382;0.10235101010101011;0.28859035119305215;0.09320634920634921;0.277;0.257;0.282;0.254;0.299;0.333;0.281;0.254;0.942;0.95;0.94;0.951;0.931;0.915;0.939;0.951;18.4949;53.4154
6;17525;208138.90493973324;0.8333333333333334;233;4;0.31642989765445256;0.11996;0.3032135486651762;0.10261802575107298;0.266;0.27;0.266;0.257;0.266;0.264;0.268;0.257;0.943;0.941;0.943;0.946;0.942;0.943;0.942;0.946;18.3313;53.0659
7;24938;38705.56945368129;0.8333333333333334;572;10;0.3863789316224114;0.0881054131054131;0.3802398711092593;0.09641608391608392;0.333;0.345;0.383;0.42;0.301;0.32;0.403;0.42;0.943;0.939;0.925;0.91;0.953;0.947;0.917;0.91;18.9164;54.2085
8;24939;45975.60171439811;0.8333333333333334;507;10;0.37381254801906;0.0836404160475483;0.3744148405766687;0.09272189349112427;0.346;0.349;0.319;0.424;0.313;0.336;0.311;0.424;0.939;0.938;0.947;0.907;0.949;0.942;0.95;0.907;18.8437;54.1627
9;24940;61308.51715119224;0.8333333333333334;499;10;0.3713694379101571;0.08450299401197606;0.39030196838577247;0.09484969939879759;0.253;0.268;0.552;0.474;0.303;0.303;0.522;0.473;0.946;0.94;0.744;0.811;0.922;0.922;0.77;0.812;18.825;54.0324
10;24941;243902.05624566998;0.8333333333333334;110;3;0.3594677491264164;0.1322027027027027;0.37541141229493863;0.11181818181818183;0.348;0.3;0.376;0.384;0.35;0.287;0.385;0.384;0.873;0.906;0.851;0.845;0.872;0.914;0.845;0.845;18.7316;52.927
11;41461;144233.3029778453;0.8333333333333334;448;7;0.29602907881688495;0.09747991071428573;;;0.265;0.261;0.261;0.328;;;;;0.946;0.948;0.948;0.918;;;;;18.56;53.4231
12;45915;183894.92992736772;0.8333333333333334;282;5;0.30886563710957404;0.11672779369627508;0.29611846622042826;0.10163120567375888;0.253;0.247;0.243;0.305;0.255;0.238;0.243;0.305;0.946;0.948;0.95;0.921;0.945;0.952;0.95;0.921;18.1982;53.1797
13;45917;114734.04668934067;0.8333333333333334;337;8;0.30139574989077506;0.08872033898305086;0.303843808079854;0.09572700296735905;0.21;0.21;0.277;0.271;0.221;0.261;0.26;0.272;0.963;0.963;0.935;0.938;0.959;0.943;0.943;0.938;18.7572;53.611
14;45918;100128.74615506147;0.8333333333333334;340;8;0.30571410751550576;0.08699124726477024;0.3160510756546538;0.09735294117647059;0.253;0.223;0.266;0.292;0.275;0.277;0.261;0.292;0.946;0.958;0.94;0.928;0.936;0.935;0.943;0.928;18.8293;53.7198
15;45919;81137.25946506241;0.8333333333333334;428;9;0.33643967879394804;0.08494754653130288;0.34481041962690573;0.09469626168224299;0.251;0.226;0.336;0.328;0.273;0.274;0.304;0.328;0.947;0.957;0.905;0.909;0.937;0.937;0.922;0.909;18.8751;53.873
16;45926;71193.0329819102;0.8333333333333334;492;10;0.35595359437196833;0.08467786259541984;0.3689480937101798;0.09306910569105692;0.308;0.282;0.533;0.468;0.334;0.316;0.484;0.468;0.92;0.933;0.761;0.815;0.906;0.916;0.803;0.815;18.8688;53.9537
