;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
25;41869;186813.41934517946;0.8333333333333334;739;15;0.13034389483415257;0.10490393518518519;0.12357199075488381;0.11776725304465493;0.249;0.237;0.262;0.162;0.236;0.234;0.242;0.162;0.943;0.948;0.937;0.976;0.949;0.95;0.946;0.976;14.4347;52.6804
26;41917;278355.78161296726;0.8333333333333334;306;7;0.13452980229435774;0.10581558441558443;0.12869272664952724;0.11450980392156865;0.196;0.169;0.21;0.183;0.175;0.233;0.162;0.183;0.956;0.967;0.949;0.961;0.965;0.937;0.97;0.961;14.7516;52.0721
27;42214;173586.2169616771;0.8333333333333334;672;15;0.13184583036934577;0.09523104265402843;0.11842723609212495;0.11171130952380952;0.224;0.198;0.243;0.099;0.257;0.219;0.252;0.099;0.942;0.955;0.932;0.989;0.924;0.945;0.927;0.989;14.309;52.765
28;42215;164877.0687123433;0.8333333333333334;643;15;0.13566653145456525;0.09124539877300615;0.1224901194908616;0.10740279937791603;0.216;0.198;0.244;0.113;0.231;0.184;0.226;0.113;0.946;0.954;0.931;0.985;0.938;0.961;0.941;0.985;14.2162;52.8166
29;42216;156250.35731561523;0.8333333333333334;633;15;0.13754807720720222;0.08779493670886077;0.12513635284698552;0.1018957345971564;0.237;0.217;0.268;0.159;0.255;0.225;0.262;0.159;0.936;0.946;0.918;0.971;0.926;0.942;0.922;0.971;14.1275;52.85
30;42217;146748.74822630503;0.8333333333333334;629;14;0.14377374805890722;0.08895479452054796;0.1337328930380401;0.09875993640699524;0.232;0.188;0.249;0.147;0.289;0.225;0.265;0.147;0.937;0.958;0.927;0.975;0.902;0.94;0.917;0.975;14.1455;52.9266
31;42218;136474.26327704336;0.8333333333333334;628;14;0.1539431591784107;0.08513991769547326;0.14552718026736539;0.09434713375796179;0.32;0.282;0.324;0.216;0.32;0.278;0.319;0.215;0.914;0.933;0.912;0.961;0.914;0.935;0.914;0.961;14.2199;52.9895
32;42219;105752.0359855273;0.8333333333333334;463;13;0.20031957990874735;0.07510973451327435;0.19244790248959512;0.08550755939524839;0.586;0.548;0.192;0.202;0.589;0.555;0.19;0.202;-1.835;-1.478;0.697;0.663;-1.861;-1.535;0.702;0.664;14.4172;53.1946
33;42220;95118.74564621504;0.8333333333333334;437;13;0.20559786152547146;0.07433580705009277;0.19849700151581837;0.08517162471395882;0.581;0.665;0.215;0.265;0.574;0.635;0.223;0.265;-1.791;-2.649;0.617;0.422;-1.716;-2.322;0.591;0.423;14.4925;53.2837
34;42221;195736.51757434604;0.8333333333333334;674;13;0.12659884411454003;0.10718822023047375;0.12036626002055871;0.11943620178041543;0.285;0.262;0.284;0.142;0.281;0.254;0.277;0.142;0.923;0.935;0.924;0.981;0.925;0.939;0.927;0.981;14.5351;52.634
35;42222;219750.37589014258;0.8333333333333334;594;13;0.13126432532286755;0.10687061994609165;0.11941814188677198;0.12222222222222223;0.216;0.186;0.236;0.143;0.169;0.188;0.164;0.143;0.943;0.958;0.932;0.975;0.965;0.957;0.967;0.975;14.6098;52.4655
36;42223;240551.2587565235;0.8333333333333334;462;11;0.1319568203170614;0.10725126475548062;0.1173857374932836;0.1244805194805195;0.22;0.188;0.236;0.156;0.184;0.184;0.193;0.156;0.935;0.953;0.925;0.968;0.955;0.955;0.95;0.968;14.5793;52.3124
37;42224;286057.9769483367;0.8333333333333334;297;8;0.12936692060839552;0.10457831325301206;0.11588047228501552;0.12053872053872056;0.203;0.168;0.222;0.189;0.167;0.178;0.167;0.189;0.952;0.967;0.943;0.959;0.968;0.963;0.968;0.959;14.8376;52.0771
38;42305;326460.34372443985;0.8333333333333334;282;8;0.10773314033651595;0.0940933014354067;0.08878241603444785;0.1146808510638298;0.151;0.157;0.172;0.148;0.142;0.222;0.138;0.148;0.969;0.967;0.96;0.971;0.973;0.934;0.974;0.971;15.3131;52.0557
