;id;chain;velocity;rmse_sc;rmse_sn;rmse_srg;rmse_srgo;rmse_sr;rmse_srgd;rmse_srd;nse_sc;nse_sn;nse_srg;nse_srgo;nse_sr;nse_srgd;nse_srd;x;y
0;42214;173586.2169616771;0.8333333333333334;0.1717;0.1107;0.0974;0.0974;0.2313;0.0659;0.0465;0.9649;0.9854;0.9887;0.9887;0.9363;0.9946;0.9972;14.309;52.765
1;41866;234513.3393847275;0.8333333333333334;0.179;0.2204;0.2065;0.2045;0.2078;0.1878;0.1261;0.9664;0.9491;0.9553;0.9562;0.9548;0.9641;0.9827;14.5531;52.3598
2;42224;286057.9769483367;0.8333333333333334;0.183;0.1672;0.1291;0.1287;0.2281;0.1225;0.111;0.9675;0.9729;0.9838;0.9839;0.9495;0.9853;0.9886;14.8376;52.0771
3;42305;326460.34372443985;0.8333333333333334;0.1552;0.1525;0.1326;0.1325;0.22;0.1269;0.0602;0.9743;0.9752;0.9812;0.9813;0.9483;0.9824;0.996;15.3131;52.0557
4;23410;483182.6678917009;0.8333333333333334;0.2372;0.2125;0.2034;0.2034;0.4098;0.1936;0.1884;0.9494;0.9594;0.9627;0.9627;0.8493;0.9649;0.9676;16.4454;51.4485
