;id;DS.chainage;velocity;len(DS.densified_wl_by_regr_itpd);len(DS.upstream_adjacent_vs);mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd
0;46217;78287,03637738184;0,2777777777777778;540;21;0,29336700639189456;0,1129584438549956;0,6163568523430593;0,7738;0,9478;0,1967;0,7686;0,192;0,8271;0,7406;0,9912;0,8332;0,9907
1;46217;78287,03637738184;0,5555555555555556;540;21;0,2935141418936364;0,11309565987599646;0,6151871567759079;0,4845;0,9478;0,1006;0,465;0,192;0,9322;0,7406;0,9977;0,9385;0,9907
2;46217;78287,03637738184;0,8333333333333333;539;21;0,2931862487307343;0,11318844444444445;0,6164019555555555;0,4164;0,9478;0,1132;0,3633;0,192;0,9499;0,7406;0,9971;0,9625;0,9907
3;46217;78287,03637738184;1,1111111111111112;540;21;0,29310251748101135;0,11311722912966253;0,6176750444049733;0,3915;0,9478;0,1263;0,3156;0,192;0,9557;0,7406;0,9964;0,9718;0,9907
4;46217;78287,03637738184;1,3888888888888888;540;21;0,2929968396670289;0,11302750665483585;0,6172035492457852;0,3977;0,9478;0,1348;0,3097;0,192;0,9543;0,7406;0,9959;0,9718;0,9907
5;46217;78287,03637738184;1,6666666666666665;540;21;0,2929968396670289;0,11302750665483585;0,6172035492457851;0,3904;0,9478;0,1478;0,3006;0,192;0,956;0,7406;0,9951;0,9744;0,9907
6;46217;78287,03637738184;1,9444444444444444;539;21;0,29302857728931736;0,1130923623445826;0,617288809946714;0,3963;0,9478;0,149;0,3103;0,192;0,9547;0,7406;0,995;0,9722;0,9907
7;46221;114018,01273358069;0,2777777777777778;541;22;0,2983166487807749;0,11721296296296298;0,5972699494949494;0,6965;0,9794;0,2309;0,6804;0,3146;0,8705;0,744;0,9873;0,8707;0,9746
8;46221;114018,01273358069;0,5555555555555556;540;22;0,2988621271205893;0,11740134907251265;0,5969282462057336;0,5142;0,9794;0,1723;0,4878;0,3146;0,9294;0,744;0,9929;0,9333;0,9746
9;46221;114018,01273358069;0,8333333333333333;540;22;0,298488416743723;0,11742772612003384;0,5970107354184278;0,4565;0,9794;0,1302;0,4109;0,3146;0,9444;0,744;0,996;0,9523;0,9746
10;46221;114018,01273358069;1,1111111111111112;540;22;0,29840421358065;0,1173564189189189;0,5975476351351351;0,454;0,9794;0,1359;0,3954;0,3146;0,945;0,744;0,9956;0,9546;0,9746
11;46221;114018,01273358069;1,3888888888888888;539;22;0,298032834659535;0,11703296703296702;0,5966871513102283;0,4317;0,9794;0,1332;0,3614;0,3146;0,9502;0,744;0,9958;0,9619;0,9746
12;46221;114018,01273358069;1,6666666666666665;539;22;0,298032834659535;0,11703296703296705;0,5966871513102282;0,445;0,9794;0,1315;0,3594;0,3146;0,9472;0,744;0,9959;0,9628;0,9746
13;46221;114018,01273358069;1,9444444444444444;539;22;0,2980675101619723;0,11709813874788497;0,596513282571912;0,4536;0,9794;0,1381;0,3964;0,3146;0,9451;0,744;0,9955;0,9584;0,9746
14;46225;171852,2804483872;0,2777777777777778;540;18;0,28941706744631723;0,1170362389813908;0,639816846229187;0,8366;1,1272;0,8192;0,918;0,2253;0,8409;0,7112;0,8538;0,8036;0,9875
15;46225;171852,2804483872;0,5555555555555556;540;18;0,2902559074981642;0,11745829244357213;0,6414566241413151;0,5896;1,1272;0,3308;0,5627;0,2253;0,921;0,7112;0,9762;0,9253;0,9875
16;46225;171852,2804483872;0,8333333333333333;540;18;0,28929453054805876;0,11731305201177626;0,6400817468105985;0,4856;1,1272;0,2884;0,4272;0,2253;0,9464;0,7112;0,9819;0,9569;0,9875
17;46225;171852,2804483872;1,1111111111111112;540;18;0,2893808124582131;0,11685840707964604;0,6396491642084562;0,476;1,1272;0,364;0,3757;0,2253;0,9485;0,7112;0,9711;0,9657;0,9875
18;46225;171852,2804483872;1,3888888888888888;540;18;0,2893808124582131;0,11717583497053047;0,6392409626719057;0,4664;1,1272;0,3369;0,3405;0,2253;0,9506;0,7112;0,9753;0,9733;0,9875
19;46225;171852,2804483872;1,6666666666666665;540;18;0,2892697718418192;0,11707262021589795;0,6394867517173699;0,4635;1,1272;0,3374;0,3432;0,2253;0,9512;0,7112;0,9752;0,9726;0,9875
20;46225;171852,2804483872;1,9444444444444444;539;18;0,2897962257275129;0,11700098039215687;0,639886568627451;0,4723;1,1272;0,3403;0,3489;0,2253;0,9493;0,7112;0,9748;0,9709;0,9875
21;23876;200061,70532737562;0,2777777777777778;540;22;0,2983166487807749;0,11721296296296298;0,8268063973063973;0,9513;1,4613;0,4942;1,0179;0,2935;0,8069;0,533;0,9562;0,7698;0,9822
22;23876;200061,70532737562;0,5555555555555556;539;22;0,29878084450010306;0,1173251895534962;0,8293976411120471;0,7129;1,4613;0,3539;0,7224;0,2935;0,8916;0,533;0,9775;0,8873;0,9822
23;23876;200061,70532737562;0,8333333333333333;540;22;0,298488416743723;0,11742772612003384;0,8273068469991547;0,6221;1,4613;0,3466;0,543;0,2935;0,9174;0,533;0,9785;0,9335;0,9822
24;23876;200061,70532737562;1,1111111111111112;540;22;0,29840421358065;0,1173564189189189;0,8258733952702703;0,5223;1,4613;0,147;0,4419;0,2935;0,9418;0,533;0,9961;0,9563;0,9822
25;23876;200061,70532737562;1,3888888888888888;540;22;0,29840421358065;0,1173564189189189;0,8258733952702703;0,5318;1,4613;0,1514;0,4186;0,2935;0,9397;0,533;0,9959;0,9601;0,9822
26;23876;200061,70532737562;1,6666666666666665;540;22;0,29840421358065;0,1173564189189189;0,8258733952702703;0,5249;1,4613;0,1532;0,4238;0,2935;0,9412;0,533;0,9958;0,9578;0,9822
27;23876;200061,70532737562;1,9444444444444444;540;22;0,2983340297088549;0,1173327702702703;0,825506081081081;0,5373;1,4613;0,1511;0,4289;0,2935;0,9384;0,533;0,9959;0,9576;0,9822
