;id_vs;vs_chain;dt;gauge_up;dist_up;gauge_down;dist_down;lag;vs_wl;up_wl;uncertainty;g_anom;vs_anom;bias
0;38368;354237.82613167516;2022-01-18 09:23:41;151160060.0;366659.6432611723;151150150.0;330395.1882159967;6.312151527319527;68.244;2.34;0.202;-0.39766666666666683;-0.3438108108108082;0.053855855855858614
1;38368;354237.82613167516;2022-01-28 07:22:12;151160060.0;366659.6432611723;151150150.0;330395.1882159967;7.890189409149409;68.118;2.33;0.07;-0.4076666666666666;-0.469810810810813;0.062144144144146374
2;38368;354237.82613167516;2022-02-07 00:00:00;151160060.0;366659.6432611723;151150150.0;330395.1882159967;0.0;68.739;;0.055;;0.15118918918919633;
3;38368;354237.82613167516;2022-02-17 00:00:00;151160060.0;366659.6432611723;151150150.0;330395.1882159967;0.0;69.082;;0.033;;0.49418918918918564;
4;38368;354237.82613167516;2022-02-27 00:00:00;151160060.0;366659.6432611723;151150150.0;330395.1882159967;0.0;69.115;;0.045;;0.5271891891891869;
5;38368;354237.82613167516;2022-03-08 23:16:18;151160060.0;366659.6432611723;151150150.0;330395.1882159967;6.838164154596154;68.474;2.7;0.12;-0.037666666666666515;-0.11381081081080424;0.07614414414413773
6;38368;354237.82613167516;2022-03-18 00:00:00;151160060.0;366659.6432611723;151150150.0;330395.1882159967;6.838164154596154;68.246;2.58;0.003;-0.15766666666666662;-0.3418108108108129;0.18414414414414626
7;38368;354237.82613167516;2022-03-28 19:13:21;151160060.0;366659.6432611723;151150150.0;330395.1882159967;7.364176781872781;68.093;2.3;0.032;-0.43766666666666687;-0.49481081081080447;0.0571441441441376
8;38368;354237.82613167516;2022-05-17 09:06:27;151160060.0;366659.6432611723;151150150.0;330395.1882159967;6.838164154596154;67.886;2.13;0.016;-0.6076666666666668;-0.7018108108108123;0.09414414414414551
9;38368;354237.82613167516;2022-05-27 07:04:58;151160060.0;366659.6432611723;151150150.0;330395.1882159967;6.838164154596154;68.269;2.31;0.279;-0.42766666666666664;-0.31881081081080254;0.1088558558558641
10;38368;354237.82613167516;2022-06-26 01:00:32;151160060.0;366659.6432611723;151150150.0;330395.1882159967;7.364176781872781;67.695;1.82;0.051;-0.9176666666666666;-0.8928108108108148;0.024855855855851816
11;38368;354237.82613167516;2022-09-03 10:50:14;151160060.0;366659.6432611723;151150150.0;330395.1882159967;6.312151527319527;68.348;2.47;0.008;-0.2676666666666665;-0.23981081081080902;0.02785585585585748
12;38368;354237.82613167516;2022-10-13 02:44:18;151160060.0;366659.6432611723;151150150.0;330395.1882159967;6.312151527319527;68.278;2.53;0.0;-0.2076666666666669;-0.3098108108108022;0.10214414414413531
