;id;DS.chainage;velocity;len(DS.densified_wl_by_regr_itpd);len(DS.upstream_adjacent_vs);mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd
0;46217;78287,03637738184;0,2;541;21;0,2934144636198136;0,1130689045936396;0,6176845406360424;0,8954;0,9478;0,3529;0,9089;0,192;0,7685;0,7406;0,9718;0,7691;0,9907
1;46217;78287,03637738184;0,24;541;21;0,293082563875535;0,11316902654867257;0,6183318584070796;0,8421;0,9478;0,22;0,8533;0,192;0,7953;0,7406;0,989;0,7934;0,9907
2;46217;78287,03637738184;0,28;540;21;0,293082563875535;0,11316902654867257;0,6183318584070796;0,781;0,9478;0,1968;0,7771;0,192;0,8239;0,7406;0,9912;0,8302;0,9907
3;46217;78287,03637738184;0,32;541;21;0,293398838928779;0,11331233362910381;0,6181211180124223;0,7596;0,9478;0,1437;0,7317;0,192;0,8334;0,7406;0,9953;0,8498;0,9907
4;46217;78287,03637738184;0,36;540;21;0,2936262096605773;0,11340586145648314;0,6178492007104796;0,6892;0,9478;0,1245;0,6545;0,192;0,8629;0,7406;0,9965;0,881;0,9907
5;46217;78287,03637738184;0,4;540;21;0,29360985295812697;0,11341244444444444;0,6170624;0,6681;0,9478;0,1172;0,6412;0,192;0,8711;0,7406;0,9969;0,8853;0,9907
6;46217;78287,03637738184;0,44;540;21;0,2938726531242619;0,11351245551601424;0,6170502669039145;0,636;0,9478;0,1058;0,616;0,192;0,8832;0,7406;0,9975;0,8935;0,9907
7;46217;78287,03637738184;0,48;540;21;0,31377969765596875;0,10286368977673326;0,3541170387779084;0,5624;0,9478;0,0982;0,497;0,192;0,9087;0,7406;0,9978;0,9298;0,9907
8;46217;78287,03637738184;0,52;540;21;0,31377969765596875;0,10286368977673326;0,3541170387779084;0,5276;0,9478;0,1002;0,4381;0,192;0,9196;0,7406;0,9977;0,945;0,9907
9;46217;78287,03637738184;0,56;540;21;0,31377969765596875;0,10286368977673326;0,3541170387779084;0,514;0,9478;0,1012;0,4101;0,192;0,9237;0,7406;0,9977;0,9515;0,9907
10;46217;78287,03637738184;0,6;540;21;0,31377969765596875;0,10286368977673326;0,3541170387779084;0,5125;0,9478;0,1002;0,401;0,192;0,9242;0,7406;0,9977;0,9538;0,9907
11;46217;78287,03637738184;0,64;540;21;0,31377969765596875;0,10286368977673326;0,3541170387779083;0,4924;0,9478;0,1039;0,3704;0,192;0,93;0,7406;0,9976;0,9607;0,9907
12;46217;78287,03637738184;0,68;540;21;0,31377969765596875;0,10286368977673326;0,3541170387779083;0,4969;0,9478;0,1018;0,3751;0,192;0,9287;0,7406;0,9977;0,9593;0,9907
13;46217;78287,03637738184;0,72;540;21;0,31384809793883356;0,10293764705882355;0,3539204705882353;0,4839;0,9478;0,1007;0,3423;0,192;0,9324;0,7406;0,9977;0,9662;0,9907
14;46217;78287,03637738184;0,76;539;21;0,31384809793883356;0,10293764705882355;0,3539204705882353;0,4812;0,9478;0,1028;0,3394;0,192;0,9332;0,7406;0,9976;0,9669;0,9907
15;46217;78287,03637738184;0,8;539;21;0,31384809793883356;0,10293764705882355;0,3539204705882353;0,4764;0,9478;0,1134;0,3331;0,192;0,9345;0,7406;0,9971;0,9686;0,9907
16;46217;78287,03637738184;0,84;539;21;0,3138480979388335;0,10293764705882355;0,3539204705882353;0,475;0,9478;0,1131;0,3356;0,192;0,9349;0,7406;0,9971;0,9683;0,9907
17;46217;78287,03637738184;0,88;539;21;0,31384809793883356;0,10293764705882355;0,3539204705882352;0,4716;0,9478;0,1137;0,3283;0,192;0,9358;0,7406;0,9971;0,9701;0,9907
18;46217;78287,03637738184;0,92;539;21;0,31402527071422426;0,1030860849056604;0,3535259433962264;0,4584;0,9478;0,1137;0,2991;0,192;0,9393;0,7406;0,9971;0,9742;0,9907
19;46217;78287,03637738184;0,96;539;21;0,31402527071422426;0,1030860849056604;0,3535259433962264;0,4538;0,9478;0,1158;0,3014;0,192;0,9405;0,7406;0,997;0,974;0,9907
20;46217;78287,03637738184;1,0;540;21;0,31402527071422426;0,1030860849056604;0,3535259433962264;0,4404;0,9478;0,1214;0,2951;0,192;0,944;0,7406;0,9967;0,9753;0,9907
21;46217;78287,03637738184;1,04;540;21;0,31402527071422426;0,1030860849056604;0,3535259433962264;0,4313;0,9478;0,1219;0,2899;0,192;0,9463;0,7406;0,9966;0,9759;0,9907
22;46217;78287,03637738184;1,08;540;21;0,31402527071422426;0,1030860849056604;0,3535259433962264;0,4308;0,9478;0,1293;0,2874;0,192;0,9464;0,7406;0,9962;0,9763;0,9907
23;46217;78287,03637738184;1,12;540;21;0,31402527071422426;0,1030860849056604;0,3535259433962264;0,4388;0,9478;0,1298;0,2892;0,192;0,9444;0,7406;0,9962;0,976;0,9907
24;46217;78287,03637738184;1,16;540;21;0,31402527071422426;0,1030860849056604;0,3535259433962264;0,4422;0,9478;0,1298;0,293;0,192;0,9435;0,7406;0,9962;0,9754;0,9907
25;46217;78287,03637738184;1,2;540;21;0,313965251587839;0,10320306965761512;0,35319870129870135;0,4441;0,9478;0,1346;0,2863;0,192;0,9431;0,7406;0,9959;0,9762;0,9907
26;46217;78287,03637738184;1,24;540;21;0,313965251587839;0,10320306965761512;0,35319870129870135;0,4444;0,9478;0,1345;0,2863;0,192;0,943;0,7406;0,9959;0,9762;0,9907
27;46217;78287,03637738184;1,28;540;21;0,313965251587839;0,10320306965761512;0,35319870129870135;0,4481;0,9478;0,1299;0,2901;0,192;0,942;0,7406;0,9962;0,9754;0,9907
28;46217;78287,03637738184;1,32;540;21;0,313965251587839;0,10320306965761512;0,35319870129870135;0,4343;0,9478;0,1339;0,2896;0,192;0,9455;0,7406;0,9959;0,975;0,9907
29;46217;78287,03637738184;1,36;540;21;0,313965251587839;0,10320306965761512;0,35319870129870135;0,434;0,9478;0,1426;0,2901;0,192;0,9456;0,7406;0,9954;0,9749;0,9907
30;46217;78287,03637738184;1,4;540;21;0,313965251587839;0,10320306965761512;0,35319870129870135;0,4368;0,9478;0,1428;0,2895;0,192;0,9449;0,7406;0,9954;0,9753;0,9907
31;46217;78287,03637738184;1,44;540;21;0,313965251587839;0,10320306965761512;0,35319870129870135;0,4355;0,9478;0,1439;0,2898;0,192;0,9452;0,7406;0,9953;0,9754;0,9907
32;46217;78287,03637738184;1,48;540;21;0,313965251587839;0,10320306965761512;0,35319870129870135;0,4358;0,9478;0,1437;0,2898;0,192;0,9452;0,7406;0,9953;0,9755;0,9907
33;46217;78287,03637738184;1,52;540;21;0,313965251587839;0,10320306965761512;0,35319870129870135;0,4345;0,9478;0,144;0,2888;0,192;0,9455;0,7406;0,9953;0,9755;0,9907
34;46217;78287,03637738184;1,56;540;21;0,3136922785785965;0,10328605200945627;0,35332789598108744;0,4344;0,9478;0,1455;0,2853;0,192;0,9455;0,7406;0,9952;0,9761;0,9907
