;id_vs;vs_chain;dt;gauge_up;dist_up;gauge_down;dist_down;lag;vs_wl;up_wl;uncertainty;g_anom;vs_anom;bias
0;38367;321486.91511517443;2022-01-06 20:12:47;151150150.0;330395.1882159967;152150130.0;289404.1355208066;7.99602005591164;58.545;2.35;0.033;0.12939393939393984;0.14561538461537538;0.016221445221435538
1;38367;321486.91511517443;2022-02-02 20:12:52;151150150.0;330395.1882159967;152150130.0;289404.1355208066;7.462952052184198;58.516;;0.002;;0.11661538461537191;
2;38367;321486.91511517443;2022-03-01 20:12:49;151150150.0;330395.1882159967;152150130.0;289404.1355208066;7.462952052184198;58.768;2.62;0.003;0.39939393939393986;0.36861538461537435;0.030778554778565503
3;38367;321486.91511517443;2022-03-28 20:12:50;151150150.0;330395.1882159967;152150130.0;289404.1355208066;8.529088059639083;58.313;1.7;0.014;-0.5206060606060603;-0.08638461538462394;0.43422144522143635
4;38367;321486.91511517443;2022-04-24 20:12:53;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;58.19;;0.006;;-0.2093846153846286;
5;38367;321486.91511517443;2022-05-21 20:12:51;151150150.0;330395.1882159967;152150130.0;289404.1355208066;7.99602005591164;57.403;1.35;0.075;-0.8706060606060602;-0.9963846153846276;0.12577855477856748
6;38367;321486.91511517443;2022-06-17 20:12:50;151150150.0;330395.1882159967;152150130.0;289404.1355208066;9.062156063366526;57.392;1.36;0.006;-0.8606060606060602;-1.0073846153846233;0.14677855477856316
7;38367;321486.91511517443;2022-09-06 20:12:46;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;58.351;1.74;0.052;-0.48060606060606026;-0.04838461538462724;0.432221445221433
8;38367;321486.91511517443;2022-10-03 20:12:46;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;58.141;2.07;0.016;-0.1506060606060604;-0.2583846153846281;0.10777855477856768
9;38367;321486.91511517443;2022-10-30 20:12:45;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;57.835;1.9;0.022;-0.32060606060606034;-0.5643846153846255;0.24377855477856514
10;38367;321486.91511517443;2022-11-26 20:12:42;151150150.0;330395.1882159967;152150130.0;289404.1355208066;9.595224067093968;57.526;1.62;0.052;-0.6006060606060601;-0.873384615384623;0.27277855477856283
11;38367;321486.91511517443;2022-12-23 20:12:42;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;57.974;;0.001;;-0.4253846153846297;
12;38367;321486.91511517443;2023-01-19 20:12:44;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;58.591;;0.004;;0.19161538461537475;
13;38367;321486.91511517443;2023-02-15 20:12:44;151150150.0;330395.1882159967;152150130.0;289404.1355208066;7.462952052184198;58.705;2.68;0.009;0.4593939393939399;0.30561538461537197;0.15377855477856794
14;38367;321486.91511517443;2023-03-14 20:12:44;151150150.0;330395.1882159967;152150130.0;289404.1355208066;6.9298840484567545;59.057;2.8;0.013;0.5793939393939396;0.6576153846153758;0.07822144522143626
15;38367;321486.91511517443;2023-04-10 20:12:50;151150150.0;330395.1882159967;152150130.0;289404.1355208066;6.9298840484567545;58.783;2.41;0.008;0.1893939393939399;0.3836153846153749;0.19422144522143503
16;38367;321486.91511517443;2023-05-07 20:12:50;151150150.0;330395.1882159967;152150130.0;289404.1355208066;7.462952052184198;58.645;2.4;0.008;0.17939393939393966;0.2456153846153768;0.06622144522143714
17;38367;321486.91511517443;2023-06-03 20:12:48;151150150.0;330395.1882159967;152150130.0;289404.1355208066;26.12033218264469;58.122;2.08;0.024;-0.14060606060606018;-0.27738461538462644;0.13677855477856626
18;38367;321486.91511517443;2023-06-30 20:12:44;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;57.487;1.46;0.016;-0.7606060606060603;-0.9123846153846245;0.15177855477856417
19;38367;321486.91511517443;2023-07-27 20:12:41;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;58.301;;0.502;;-0.0983846153846244;
20;38367;321486.91511517443;2023-08-23 20:12:38;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;58.12;;0.046;;-0.2793846153846289;
21;38367;321486.91511517443;2023-09-19 20:12:42;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;58.028;1.59;0.005;-0.6306060606060602;-0.37138461538462764;0.25922144522143253
22;38367;321486.91511517443;2023-10-16 20:12:41;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;57.568;1.56;0.013;-0.6606060606060602;-0.8313846153846285;0.1707785547785683
23;38367;321486.91511517443;2023-11-12 20:12:40;151150150.0;330395.1882159967;152150130.0;289404.1355208066;7.99602005591164;58.243;2.17;0.009;-0.05060606060606032;-0.15638461538462423;0.1057785547785639
24;38367;321486.91511517443;2023-12-09 20:12:40;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;58.936;2.51;0.006;0.28939393939393954;0.5366153846153736;0.24722144522143408
25;38367;321486.91511517443;2024-01-05 20:12:43;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;60.329;4.06;0.033;1.8393939393939394;1.9296153846153743;0.09022144522143494
